pclass,age,sibsp,parch,fare,survived,sex_female,sex_male,sex_nan,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_T,deck_nan,embarked_C,embarked_Q,embarked_S,embarked_nan
-1.5460978645168275,-0.06116182921775316,-0.47908676070718687,-0.444999501816175,3.4411650203498834,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,-2.010496436186396,0.481287771858981,1.8665256881734007,2.2856026827414997,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,-1.9353017767365048,0.481287771858981,1.8665256881734007,2.2856026827414997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,0.0082507614310895,0.481287771858981,1.8665256881734007,2.2856026827414997,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,-0.3388121918131238,0.481287771858981,1.8665256881734007,2.2856026827414997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,1.2576773931102574,-0.47908676070718687,-0.444999501816175,-0.13037544313845886,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,2.298866252842897,0.481287771858981,-0.444999501816175,0.8632351831709382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,0.6329640772706734,-0.47908676070718687,-0.444999501816175,-0.6435291970753619,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,1.6047403463544707,1.4416623044251486,-0.444999501816175,0.3514517720270343,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.5460978645168275,2.8541669780336383,-0.47908676070718687,-0.444999501816175,0.31327931763813094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
-1.5460978645168275,1.1882648024614146,0.481287771858981,-0.444999501816175,3.754034187651338,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.5460978645168275,-0.8247003263550224,0.481287771858981,-0.444999501816175,3.754034187651338,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.5460978645168275,-0.4082247824619664,-0.47908676070718687,-0.444999501816175,0.6958890759124867,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
